GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"RUA ZITUO KARASAWA, 1422,SAO PAULO, SAO PAULO - BRASIL","243022364088010000","243","022","364088","01","0000",IQ,JBO,"1",S,S,ZPDS,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","9813",RUA ZITUO KARASAWA,"1422","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,5780365","-46,4316586"
"RUA PEDRA BRANCA DO AMAPARI, 16,SAO PAULO, SAO PAULO - BRASIL","248259530492040000","248","259","530492","04","0000",SM,IGU,"2",S,S,ZEIS-2,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","7010",RUA PEDRA BRANCA DO AMAPARI,"16","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,6095721","-46,428812"
"RUA INTENDENCIA, 212,SAO PAULO, SAO PAULO - BRASIL","196037092169060000","196","037","092169","06","0000",MO,BEL,"1",S,S,ZEIS-3,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","6162",RUA INTENDENCIA,"212","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2022","1","-23,5352076","-46,594989"
"RUA WILSON FERNANDO S. CARVALHO, 200,SAO PAULO, SAO PAULO - BRASIL","237068452610010000","237","068","452610","01","0000",CT,CTI,"1",S,S,ZMISA,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","5557",RUA WILSON FERNANDO S. CARVALHO,"200","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,5787048","-46,3931627"
"RUA GARGAU, 54,SAO PAULO, SAO PAULO - BRASIL","154099785105010000","154","099","785105","01","0000",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","300",RUA GARGAU,"54","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","1","-23,6061966","-46,512364"
"ESTRADA U (JBO), 2200,SAO PAULO, SAO PAULO - BRASIL","243022429074020000","243","022","429074","02","0000",IQ,JBO,"1",S,S,ZPDS,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","8094",ESTRADA U (JBO),"2200","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,5792585","-46,430086"
"RUA TOMOICHI SHIMIZU, 400,SAO PAULO, SAO PAULO - BRASIL","239030364053010000","239","030","364053","01","0000",IQ,JBO,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","0","13547",RUA TOMOICHI SHIMIZU,"400","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,577526","-46,4398043"
"RUA CACHOEIRA DE MINAS, 448,SAO PAULO, SAO PAULO - BRASIL","152145037915010000","152","145","037915","01","0000",SM,SMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","250",RUA CACHOEIRA DE MINAS,"448","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","1","-23,6196517","-46,4801013"
"RUA PEDRO GONCALVES VAREJAO, 405,SAO PAULO, SAO PAULO - BRASIL","155270761117010000","155","270","761117","01","0000",SB,SAP,"2",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","197",RUA PEDRO GONCALVES VAREJAO,"405","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","1","-23,6088018","-46,520335"
"RUA MANUEL QUIRINO DE MATTOS, 40,SAO PAULO, SAO PAULO - BRASIL","152065730467000021","152","065","730467","00","0021",SB,SAP,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","190","183",RUA MANUEL QUIRINO DE MATTOS,"40","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6111653","-46,5009744"
