GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,QUADRIMESTRE,COD_ANO,COD_COND,Lat_Y_,Long_X_
"TRAVESSA UM (VL SAO LUIZ), 292,SAO PAULO, SAO PAULO - BRASIL","308208517518000019","308","208","517518","00","0019",FO,BRL,"5",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","11",TRAVESSA UM (VL SAO LUIZ),"292","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5713483","-46,7412003"
"RUA JOVINIANO DE OLIVEIRA, 130,SAO PAULO, SAO PAULO - BRASIL","308203486884000021","308","203","486884","00","0021",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","100","175",RUA JOVINIANO DE OLIVEIRA,"130","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4591058","-46,7001832"
"VIA DE PEDESTRE SEM DEN VINTE E SETE, 23,SAO PAULO, SAO PAULO - BRASIL","308208517607000064","308","208","517607","00","0064",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","170","103",VIA DE PEDESTRE SEM DEN VINTE E SETE,"23","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,6241452","-46,4573012"
"RUA AURELIO BRASIL RIBEIRO, 607,SAO PAULO, SAO PAULO - BRASIL","308204486833000001","308","204","486833","00","0001",FO,BRL,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","110","119",RUA AURELIO BRASIL RIBEIRO,"607","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4593224","-46,7030133"
"TRAVESSA DOIS A (VL SAO LUIZ), 38,SAO PAULO, SAO PAULO - BRASIL","308207517526000035","308","207","517526","00","0035",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","220","163",TRAVESSA DOIS A (VL SAO LUIZ),"38","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,8825347","-46,4576405"
"RUA AURELIO BRASIL RIBEIRO, 622,SAO PAULO, SAO PAULO - BRASIL","308208486833000129","308","208","486833","00","0129",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","180","100",RUA AURELIO BRASIL RIBEIRO,"622","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4592165","-46,703118"
"TRAVESSA UM (VL SAO LUIZ), 23,SAO PAULO, SAO PAULO - BRASIL","308208517518000074","308","208","517518","00","0074",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","100","63",TRAVESSA UM (VL SAO LUIZ),"23","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5281354","-46,6114722"
"RUA ANHUMBI, 181,SAO PAULO, SAO PAULO - BRASIL","308208486825000142","308","208","486825","00","0142",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","220","227",RUA ANHUMBI,"181","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,6434341","-46,7167275"
"TRAVESSA GARCA-BRANCA, 10,SAO PAULO, SAO PAULO - BRASIL","308205489840000003","308","205","489840","00","0003",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","35","16",TRAVESSA GARCA-BRANCA,"10","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4598762","-46,7034613"
"RUA AURELIO BRASIL RIBEIRO, 552,SAO PAULO, SAO PAULO - BRASIL","308209486833000028","308","209","486833","00","0028",FO,BRL,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","230","172",RUA AURELIO BRASIL RIBEIRO,"552","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4587735","-46,7014625"
